character	roman	lshk	yale
万	mak maan baak bark pak	maak6 maan6 mak6	maak6 maan6 mak6
丌	gei ki gei	gei1 kei4	gei1 kei4
与	yu yue yu yue yu yue	jyu4 jyu5 jyu6	yu4 yu5 yu6
丏	min	min5	min5
丮	gik	gik1	gik1
丱	chuen	gwaan3	gwaan3
丳	chaan charn	caan2	chaan2
乂	aai ai	ngaai6	ngaai6
乇	ja jar tok	zaak6 tok3	jaak6 tok3
乿	chi	zi6	ji6
亃	lun	leon6	leun6
亄	yee yi	ji3	yi3
亍	chuk	cuk1	chuk1
亓	gei	kei4	kei4
亳	bok bork paak pak park pok	bok3 bok6	bok3 bok6
亶	daan darn tan taan daan darn shin sin tan sin	daan6 taan2 sin4 sin6	daan6 taan2 sin4 sin6
亹	mei moon	mei5 mun4	mei5 mun4
仂	laak lak lik	lak6 lik6	lak6 lik6
仈	baat bart	baat3	baat3
仉	jeung	zoeng2	jeung2
仚	hin	hin1	hin1
仜	hung	hung4	hung4
仡	hat hut hut gat gut ngat goh gor ko koh	gat1 hat1 ngat6 go1	gat1 hat1 ngat6 go1
仨	saam sam	saam1	saam1
仩	cheung	coeng4	cheung4
仱	ging king kim	kim4 ging1	kim4 ging1
仴	yuet	jyut6	yut6
仵	ng	ng5	ng5
伀	chung jung	zung1	jung1
伂	pooi pui	pui3	pui3
伄	diu	diu3	diu3
伅	dun	deon6	deun6
伈	sam	sam2	sam2
伋	gap gup kap	gap1 kap1	gap1 kap1
伒	gan gun kan	gan3	gan3
伓	pei	pei1	pei1
伔	daam darm	daam6	daam6
优	yau	jau1	yau1
伝	wan	wan4	wan4
伢	ng	ngaa4	nga4
伬	chea cheh	ce2	che2
伭	yuen	jyun4	yun4
伳	kai sit	sit3	sit3
伻	bing hang	paang1 ping1	paang1 ping1
伾	pei	pei1	pei1
伿	yee yi chi ji	ji6 zi3	yi6 ji3
佁	yee yi chi	ci3 ji5	chi3 yi5
佉	kui	keoi1	keui1
佌	chi	ci2	chi2
佒	yeung	joeng5	yeung5
体	tai fan fun	tai2 ban6	tai2 ban6
佖	bit	bit1	bit1
佝	au ngau kau kui	gau1 kau3 keoi1	gau1 kau3 keui1
佡	hin	hin1	hin1
佤	nga	ngaa5	nga5
佧	card ka kaat kar	kaa1	ka1
佪	wooi wui	wui4	wui4
佫	gaak gark hok hork	gaak3 hok6	gaak3 hok6
佴	yee yi yee yi noi	naai6 ji5 ji6 noi6	naai6 yi5 yi6 noi6
佶	gat gut git kit gai	gat1 git3 git6	gat1 git3 git6
佷	hang kaang kang	han2	han2
佸	wood woot	wut6	wut6
